#############
# CLUSTER 0 #
#############

attribute prevalence  =  71961 / 555819 = 0.129468
occurrence prevalence = 101735 / 626862 = 0.162292

                                   attribute  frequency  prevalence
                             educação física         48    0.000077
                                      bts ig         43    0.000069
                        medicina veterinaria         41    0.000065
                            lic. informatica         35    0.000056
                                  secondaire         34    0.000054
                               artes visuais         33    0.000053
                              medical doctor         32    0.000051
                           historia del arte         29    0.000046
                 ciencias de la comunicacion         28    0.000045
                                    taxation         28    0.000045
                             ingeniero civil         27    0.000043
                                 batxillerat         26    0.000041
                          educación primaria         26    0.000041
                 licenciatura en informatica         26    0.000041
                             medico cirujano         26    0.000041
                 programtervező informatikus         26    0.000041
                           tecnología médica         26    0.000041
                            bedrijfseconomie         25    0.000040
                   diseño de imagen y sonido         25    0.000040
                                     lehramt         25    0.000040
                                   pedagogía         25    0.000040
                                     工業工程與管理         25    0.000040
                          gestão empresarial         24    0.000038
                 traducción e interpretación         24    0.000038
                                      視覺傳達設計         24    0.000038
                                   bouwkunde         23    0.000037
                             bs architecture         23    0.000037
            ingenieria en telecomunicaciones         23    0.000037
                                        應用數學         23    0.000037
                                          機械         23    0.000037
                          contaduria publica         22    0.000035
                 electronic media production         22    0.000035
                         ing. en informatica         22    0.000035
                        ingenieria electrica         22    0.000035
                       ingeniero electrónico         22    0.000035
                          química y farmacia         22    0.000035
                                         電子系         22    0.000035
                              artes gráficas         21    0.000034
                                       b.b.a         21    0.000034
                              cinematic arts         21    0.000034
                              ing. comercial         21    0.000034
 licenciatura en ciencias de la comunicación         21    0.000034
                                       mcitp         21    0.000034
                             médico cirujano         21    0.000034
                                        國際貿易         21    0.000034
                                       e.s.o         20    0.000032
                         history and english         20    0.000032
                            ing. mecatrónica         20    0.000032
                     ingegneria aerospaziale         20    0.000032
                          lic. en psicología         20    0.000032


##############
# CLUSTER 24 #
##############

attribute prevalence  =  22446 / 555819 = 0.040384
occurrence prevalence =  59800 / 626862 = 0.095396

                            attribute  frequency  prevalence
                         theater arts         74    0.000118
                    child development         72    0.000115
                             farmacia         72    0.000115
                     ing. informatica         71    0.000113
                    publicidad y rrpp         68    0.000108
                          computacion         66    0.000105
                           enfermagem         66    0.000105
                    classical studies         58    0.000093
 communication sciences and disorders         58    0.000093
                    school psychology         58    0.000093
                               電機工程學系         58    0.000093
               media arts & animation         52    0.000083
                    medical assisting         49    0.000078
                                 mavo         47    0.000075
    bacharel em ciência da computação         46    0.000073
                 ingeniería eléctrica         46    0.000073
                     mediatechnologie         45    0.000072
                  teaching credential         45    0.000072
              communication disorders         44    0.000070
                          general ed.         44    0.000070
            international development         44    0.000070
                                  mph         44    0.000070
                           fotografia         43    0.000069
                                 企業管理         43    0.000069
                       dental hygiene         42    0.000067
                             farmácia         42    0.000067
                         h.s. diploma         42    0.000067
                  applied linguistics         41    0.000065
                           ma english         41    0.000065
                                 rtvf         41    0.000065
            speech-language pathology         41    0.000065
            economics and mathematics         40    0.000064
                             game art         40    0.000064
        business management economics         39    0.000062
               middle eastern studies         39    0.000062
                        music therapy         39    0.000062
                     chemical biology         38    0.000061
              masters of architecture         38    0.000061
                                企業管理系         38    0.000061
                architectural studies         37    0.000059
                  banking and finance         37    0.000059
     ecology and evolutionary biology         37    0.000059
                                應用數學系         37    0.000059
                   associates in arts         36    0.000057
                   associates of arts         36    0.000057
                     bac scientifique         36    0.000057
                  exercise physiology         36    0.000057
                              fashion         36    0.000057
               técnico en informática         36    0.000057
                     speech pathology         35    0.000056


##############
# CLUSTER 45 #
##############

attribute prevalence  =   6783 / 555819 = 0.012204
occurrence prevalence =  51382 / 626862 = 0.081967

                                     attribute  frequency  prevalence
                                           ipa        359    0.000573
                     early childhood education        232    0.000370
                                 human biology        197    0.000314
                                   informatyka        193    0.000308
                       informatics engineering        173    0.000276
                              exercise science        162    0.000258
                           nuclear engineering        155    0.000247
                               massage therapy        147    0.000235
                           biomedical sciences        140    0.000223
                        informační technologie        125    0.000199
                                music industry        125    0.000199
                       supply chain management        121    0.000193
                                 art education        116    0.000185
                                recording arts        115    0.000183
           civil and environmental engineering        113    0.000180
                        toegepaste informatica        113    0.000180
                                animal science        112    0.000179
                               juris doctorate        112    0.000179
                           veterinary medicine        110    0.000175
         analise e desenvolvimento de sistemas        102    0.000163
                                 legal studies         99    0.000158
                              video production         98    0.000156
                             human development         95    0.000152
                                  pre-pharmacy         95    0.000152
                              audio production         94    0.000150
                                  maschinenbau         94    0.000150
                                         dance         92    0.000147
                                    วิทย์-คณิต         92    0.000147
                           integrative biology         89    0.000142
                          medicina e chirurgia         88    0.000140
                          occupational therapy         85    0.000136
                          professional writing         85    0.000136
                                     optometry         83    0.000132
                     ingenieria en computacion         80    0.000128
                                   basisschool         79    0.000126
                                  grade school         79    0.000126
                               health sciences         79    0.000126
                                social studies         79    0.000126
                             paralegal studies         78    0.000124
                                   real estate         78    0.000124
                          speech communication         78    0.000124
                                global studies         76    0.000121
                                   copywriting         75    0.000120
                                 ilmu komputer         75    0.000120
 ingeniería técnica en informática de sistemas         75    0.000120
                                     všeobecné         75    0.000120
                                           gis         74    0.000118
                                human services         74    0.000118
                         counseling psychology         73    0.000116
                                        gen ed         73    0.000116


##############
# CLUSTER 36 #
##############

attribute prevalence  =    760 / 555819 = 0.001367
occurrence prevalence =  40417 / 626862 = 0.064475

                       attribute  frequency  prevalence
                     photography        976    0.001557
            elementary education        745    0.001188
                             art        732    0.001168
                       geography        529    0.000844
           international studies        529    0.000844
           communication studies        516    0.000823
                     art history        513    0.000818
                     social work        490    0.000782
                  bioengineering        486    0.000775
                           b.com        468    0.000747
                      multimedia        460    0.000734
              teknik informatika        450    0.000718
             mass communications        434    0.000692
                secondary school        425    0.000678
                             cis        413    0.000659
                         spanish        389    0.000621
                    microbiology        388    0.000619
                 interior design        351    0.000560
                    college prep        343    0.000547
            broadcast journalism        333    0.000531
                   culinary arts        323    0.000515
                        theology        320    0.000510
           visual communications        305    0.000487
                    juris doctor        301    0.000480
                   public policy        299    0.000477
                     kinesiology        290    0.000463
           international affairs        281    0.000448
           public administration        281    0.000448
                          french        278    0.000443
                entrepreneurship        272    0.000434
                              md        267    0.000426
                        fine art        265    0.000423
            visual communication        256    0.000408
                             n/a        252    0.000402
                            havo        244    0.000389
                        a levels        242    0.000386
                    film studies        240    0.000383
               computing science        237    0.000378
 library and information science        236    0.000376
                  business admin        235    0.000375
                 web development        228    0.000364
                 library science        227    0.000362
                     criminology        226    0.000361
                     game design        226    0.000361
              business marketing        222    0.000354
                        religion        222    0.000354
                            arts        220    0.000351
               religious studies        220    0.000351
                            gcse        216    0.000345
    business information systems        215    0.000343


##############
# CLUSTER 44 #
##############

attribute prevalence  =     13 / 555819 = 0.000023
occurrence prevalence =  39982 / 626862 = 0.063781

               attribute  frequency  prevalence
                 biology       4111    0.006558
          graphic design       3861    0.006159
                 history       3663    0.005843
                 finance       3614    0.005765
 business administration       3472    0.005539
                business       3419    0.005454
                 physics       3348    0.005341
             mathematics       3341    0.005330
              journalism       3212    0.005124
          communications       2489    0.003971
              philosophy       1916    0.003056
               sociology       1876    0.002993
           communication       1660    0.002648


##############
# CLUSTER 49 #
##############

attribute prevalence  =   4147 / 555819 = 0.007461
occurrence prevalence =  33431 / 626862 = 0.053331

                                  attribute  frequency  prevalence
                                       mbbs        396    0.000632
          materials science and engineering        272    0.000434
                        engineering physics        266    0.000424
                             bioinformatics        264    0.000421
                                       b.e.        252    0.000402
                    bachelor of engineering        214    0.000341
                                 graduation        209    0.000333
                                       pcmb        205    0.000327
                                    masters        188    0.000300
                                      inter        180    0.000287
                                     m.tech        174    0.000278
                                     matric        164    0.000262
                        electrical engineer        163    0.000260
                              matriculation        163    0.000260
                                       bcom        162    0.000258
                      petroleum engineering        161    0.000257
                 electrical and electronics        160    0.000255
             electronics and communications        152    0.000242
                      computer applications        146    0.000233
                    construction management        134    0.000214
                     structural engineering        133    0.000212
         industrial and systems engineering        131    0.000209
                          primary education        131    0.000209
                            human resources        128    0.000204
                                      civil        127    0.000203
    electronics & communication engineering        127    0.000203
                                    b. tech        123    0.000196
                                       b.sc        121    0.000193
                                   plus two        114    0.000182
                                        xii        113    0.000180
                                 b.tech cse        111    0.000177
                                      m.p.c        110    0.000175
                               3d animation        104    0.000166
            electronics and instrumentation        103    0.000164
                                        bbm        102    0.000163
   information and communication technology        102    0.000163
                           mechanical engg.        102    0.000163
 electronics and communications engineering        100    0.000160
                               food science        100    0.000160
                   electrical & electronics         97    0.000155
                          materials science         95    0.000152
                  human resource management         94    0.000150
                        operations research         94    0.000150
                                    b.tech.         93    0.000148
                                         ec         91    0.000145
                             junior college         90    0.000144
                     production engineering         89    0.000142
                                  aerospace         88    0.000140
                                  b.tech it         87    0.000139
                     bachelor of technology         87    0.000139


#############
# CLUSTER 1 #
#############

attribute prevalence  =      1 / 555819 = 0.000002
occurrence prevalence =  32615 / 626862 = 0.052029

        attribute  frequency  prevalence
 computer science      32615    0.052029


##############
# CLUSTER 47 #
##############

attribute prevalence  =     40 / 555819 = 0.000072
occurrence prevalence =  24315 / 626862 = 0.038788

                                 attribute  frequency  prevalence
                               engineering       2598    0.004144
                                  commerce       1386    0.002211
                                       mca       1372    0.002189
                                       ece       1224    0.001953
                                       ssc        956    0.001525
                               electronics        891    0.001421
                                    school        805    0.001284
                                        be        718    0.001145
             electronics and communication        717    0.001144
                                mechanical        709    0.001131
                                      10th        676    0.001078
                             biotechnology        669    0.001067
            computer science & engineering        668    0.001066
                              intermediate        658    0.001050
                                 schooling        654    0.001043
                                       bca        628    0.001002
                                       hsc        617    0.000984
                                     btech        599    0.000956
                                 computers        540    0.000861
                                      12th        536    0.000855
              computer science engineering        495    0.000790
                          higher secondary        492    0.000785
                                       eee        470    0.000750
                                       mpc        469    0.000748
                                       b.e        463    0.000739
 electronics and communication engineering        414    0.000660
                            primary school        412    0.000657
                                        +2        394    0.000629
                                      sslc        343    0.000547
               electronics & communication        323    0.000515
                                       pcm        321    0.000512
    electrical and electronics engineering        313    0.000499
                                 secondary        313    0.000499
                                electrical        251    0.000400
                                    b tech        238    0.000380
