##############
# CLUSTER 22 #
##############

attribute prevalence  =   1464 / 555819 = 0.002634
occurrence prevalence =  50088 / 626862 = 0.079903

                                 attribute  frequency  prevalence
                                   science       3767    0.006009
                               engineering       2598    0.004144
                         civil engineering       2588    0.004129
                      chemical engineering       2482    0.003959
                                        it       2357    0.003760
                                    b.tech       1915    0.003055
          computer science and engineering       1442    0.002300
                                  commerce       1386    0.002211
                                       mca       1372    0.002189
                                       ece       1224    0.001953
                                       cse       1145    0.001827
                                       ssc        956    0.001525
                               electronics        891    0.001421
                                    school        805    0.001284
                                        cs        756    0.001206
                                        be        718    0.001145
             electronics and communication        717    0.001144
                                mechanical        709    0.001131
                                      10th        676    0.001078
                             biotechnology        669    0.001067
            computer science & engineering        668    0.001066
                              intermediate        658    0.001050
                                 schooling        654    0.001043
                                       bca        628    0.001002
                                       hsc        617    0.000984
                                     btech        599    0.000956
                                       bba        581    0.000927
                                 computers        540    0.000861
                                      12th        536    0.000855
              computer science engineering        495    0.000790
                          higher secondary        492    0.000785
                                       eee        470    0.000750
                                       mpc        469    0.000748
                                     b.com        468    0.000747
                                       b.e        463    0.000739
                       information science        451    0.000719
                          secondary school        425    0.000678
                       secondary education        416    0.000664
 electronics and communication engineering        414    0.000660
                            primary school        412    0.000657
                                      mbbs        396    0.000632
                                        +2        394    0.000629
                                      sslc        343    0.000547
               electronics & communication        323    0.000515
                                       pcm        321    0.000512
    electrical and electronics engineering        313    0.000499
                                 secondary        313    0.000499
                                   primary        280    0.000447
                       engineering physics        266    0.000424
                                      b.e.        252    0.000402


#############
# CLUSTER 6 #
#############

attribute prevalence  =   1905 / 555819 = 0.003427
occurrence prevalence =  47512 / 626862 = 0.075793

                      attribute  frequency  prevalence
                        biology       4111    0.006558
                 graphic design       3861    0.006159
                       business       3419    0.005454
                     journalism       3212    0.005124
                     accounting       2701    0.004309
                 communications       2489    0.003971
                  communication       1660    0.002648
            business management       1572    0.002508
            information systems       1471    0.002347
                    advertising       1340    0.002138
                      education       1307    0.002085
                          music       1305    0.002082
 management information systems       1092    0.001742
                general studies       1089    0.001737
                   anthropology       1078    0.001720
                    photography        976    0.001557
               public relations        902    0.001439
             english literature        855    0.001364
                   liberal arts        855    0.001364
           elementary education        745    0.001188
                            art        732    0.001168
                           film        727    0.001160
                        theatre        617    0.000984
               creative writing        532    0.000849
          international studies        529    0.000844
          communication studies        516    0.000823
                     multimedia        460    0.000734
                      fine arts        448    0.000715
            mass communications        434    0.000692
                        spanish        389    0.000621
                interior design        351    0.000560
                   college prep        343    0.000547
           broadcast journalism        333    0.000531
                       theology        320    0.000510
                   juris doctor        301    0.000480
          public administration        281    0.000448
                         french        278    0.000443
                       fine art        265    0.000423
                   film studies        240    0.000383
                library science        227    0.000362
                       religion        222    0.000354
                           arts        220    0.000351
              religious studies        220    0.000351
                   theatre arts        192    0.000306
       english/creative writing         71    0.000113
                            tip         10    0.000016
                 statsvetenskap          8    0.000013
                     automasjon          7    0.000011
                  ikt-driftsfag          7    0.000011
                   animation 3d          6    0.000010


##############
# CLUSTER 10 #
##############

attribute prevalence  =   3355 / 555819 = 0.006036
occurrence prevalence =  43898 / 626862 = 0.070028

                          attribute  frequency  prevalence
                    music education        742    0.001184
                        art history        513    0.000818
                          animation        404    0.000644
                      culinary arts        323    0.000515
                         studio art        317    0.000506
                        kinesiology        290    0.000463
              international affairs        281    0.000448
                                 md        267    0.000426
                         undeclared        262    0.000418
                         literature        246    0.000392
          early childhood education        232    0.000370
                  music performance        207    0.000330
                            college        205    0.000327
                    liberal studies        204    0.000325
                              drama        202    0.000322
                  audio engineering        201    0.000321
                      human biology        197    0.000314
              environmental studies        196    0.000313
                            zoology        188    0.000300
             hospitality management        180    0.000287
                   game development        172    0.000274
                        meteorology        170    0.000271
                  english education        167    0.000266
                   sport management        167    0.000266
                   physical therapy        165    0.000263
                                 aa        163    0.000260
                   exercise science        162    0.000258
                  special education        159    0.000254
                nuclear engineering        155    0.000247
          interdisciplinary studies        153    0.000244
             comparative literature        151    0.000241
                    massage therapy        147    0.000235
                           genetics        144    0.000230
                biomedical sciences        140    0.000223
                             acting        139    0.000222
                          astronomy        136    0.000217
                       study abroad        136    0.000217
            construction management        134    0.000214
                            pre-med        134    0.000214
             structural engineering        133    0.000212
                         everything        132    0.000211
 industrial and systems engineering        131    0.000209
 masters in business administration        129    0.000206
                    human resources        128    0.000204
                            writing        127    0.000203
                     music industry        125    0.000199
            supply chain management        121    0.000193
                               m.d.        119    0.000190
                      art education        116    0.000185
                     recording arts        115    0.000183


##############
# CLUSTER 40 #
##############

attribute prevalence  =   1189 / 555819 = 0.002139
occurrence prevalence =  33856 / 626862 = 0.054009

                                         attribute  frequency  prevalence
                                  computer science      32615    0.052029
                                       mat-inf-fiz          4    0.000006
                               računalniški tehnik          4    0.000006
                                      stadtplanung          4    0.000006
                          fakulteta za strojništvo          3    0.000005
                                   graficki dizajn          3    0.000005
                  advanced informatics and control          2    0.000003
                            animação sociocultural          2    0.000003
                             automatics & robotics          2    0.000003
                                   bac s spé maths          2    0.000003
                                             bbais          2    0.000003
                            business it management          2    0.000003
                             ciências da linguagem          2    0.000003
                                                cj          2    0.000003
                                   clinic medicine          2    0.000003
                                              decf          2    0.000003
                      economics and social studies          2    0.000003
                         economie en bedrijfskunde          2    0.000003
                                    electromecanic          2    0.000003
                                    elinstallation          2    0.000003
                              englisch, informatik          2    0.000003
            fachinformatiker/anwendungsentwicklung          2    0.000003
                   finance, banking and investment          2    0.000003
                                  hts-autotechniek          2    0.000003
                            højere teknisk eksamen          2    0.000003
                  industrial design and technology          2    0.000003
    ingenieurswetenschappen: computerwetenschappen          2    0.000003
              instructional design and development          2    0.000003
                                      konstrukcije          2    0.000003
   laurea triennale in scienze della comunicazione          2    0.000003
 licenciada en administración y dirección de em...          2    0.000003
                            matematika-informatika          2    0.000003
                                   mathe/physik lk          2    0.000003
                                      network tech          2    0.000003
                               ohjelmistotekniikka          2    0.000003
                                    pdpp education          2    0.000003
                              pharmacoepidemiology          2    0.000003
                     phd in environmental sciences          2    0.000003
                                      pre- medical          2    0.000003
            tecnologias da informação e multimédia          2    0.000003
             telekomunikační a informační technika          2    0.000003
                                     visualisation          2    0.000003
                                ylioppilastutkinto          2    0.000003
                                       מגמת קולנוע          2    0.000003
                                              משחק          2    0.000003
                                              정보통신          2    0.000003
                         (connaissance et decision          1    0.000002
                               + general education          1    0.000002
                                ...asked to leave!          1    0.000002
                            10+2 science with math          1    0.000002


#############
# CLUSTER 8 #
#############

attribute prevalence  =   6960 / 555819 = 0.012522
occurrence prevalence =  30387 / 626862 = 0.048475

                              attribute  frequency  prevalence
                                derecho        588    0.000938
                               medicina        526    0.000839
                         diseño gráfico        511    0.000815
                            informática        508    0.000810
                             periodismo        497    0.000793
                 ingeniería informática        468    0.000747
                           arquitectura        436    0.000696
                             publicidad        348    0.000555
                           bachillerato        307    0.000490
                             secundaria        306    0.000488
                               primaria        267    0.000426
                             psicología        262    0.000418
              ingeniería en informática        251    0.000400
                    systems engineering        243    0.000388
                 ingeniería de sistemas        238    0.000380
                              bachiller        233    0.000372
                 ingenieria de sistemas        215    0.000343
                           preparatoria        209    0.000333
                 ingenieria en sistemas        206    0.000329
                         diseño grafico        187    0.000298
                    comunicación social        186    0.000297
                  ingeniería industrial        184    0.000294
            ciencias de la comunicación        178    0.000284
              ingeniería en computación        161    0.000257
                   ingeniería comercial        156    0.000249
 ingeniería en sistemas computacionales        149    0.000238
                           comunicación        144    0.000230
               comunicación audiovisual        138    0.000220
 ingenieria en sistemas computacionales        128    0.000204
                   analista de sistemas        127    0.000203
                 ingeniería en sistemas        127    0.000203
                       ingeniería civil        126    0.000201
                      diseño industrial        125    0.000199
           ingeniería civil informática        124    0.000198
              ingenieria en informatica        123    0.000196
                 ingenieria informatica        122    0.000195
                               economía        121    0.000193
                               sistemas        121    0.000193
            ingeniería civil industrial        120    0.000191
                          mercadotecnia        120    0.000191
                                    eso        118    0.000188
                  ingeniero de sistemas        112    0.000179
                 ingeniería electrónica        110    0.000175
          ing. sistemas computacionales        109    0.000174
                             ingenieria        101    0.000161
       ing. en sistemas computacionales        100    0.000160
                          ing. sistemas         96    0.000153
                  bachiller en ciencias         93    0.000148
  ingeniería en sistemas de información         92    0.000147
                            electronica         89    0.000142


##############
# CLUSTER 43 #
##############

attribute prevalence  =   1123 / 555819 = 0.002020
occurrence prevalence =  26193 / 626862 = 0.041784

                                   attribute  frequency  prevalence
                                     english       5334    0.008509
                           political science       4988    0.007957
                                         law       4170    0.006652
                                     history       3663    0.005843
                                  philosophy       1916    0.003056
                                   sociology       1876    0.002993
                     international relations        970    0.001547
                                neuroscience        631    0.001007
                                        j.d.        481    0.000767
                                          jd        413    0.000659
                               public policy        299    0.000477
             library and information science        236    0.000376
                          gcses and a levels          5    0.000008
                       teaching and learning          5    0.000008
                                        atpl          4    0.000006
                       bs medical technology          4    0.000006
                                 droit privé          4    0.000006
                                  idrettsfag          4    0.000006
                                     alcohol          3    0.000005
                       commerce - accounting          3    0.000005
                           french, education          3    0.000005
                                 it-ingeniør          3    0.000005
                                      m arch          3    0.000005
         network security and administration          3    0.000005
                                         sjd          3    0.000005
               sports and fitness management          3    0.000005
                             teknisk tegning          3    0.000005
                                    חשבונאות          3    0.000005
                   adminstración de empresas          2    0.000003
          advertising & marketing management          2    0.000003
             b.a. in business administration          2    0.000003
                        b.sc in neuroscience          2    0.000003
                    ba, government & history          2    0.000003
                                 ba: theatre          2    0.000003
                     betriebwirtschaftslehre          2    0.000003
        biblioteks- og informationsvidenskab          2    0.000003
                  bsc information management          2    0.000003
                                         chi          2    0.000003
                           chicana/o studies          2    0.000003
                                  cisco ccnp          2    0.000003
                            classic culinary          2    0.000003
                       clinical lab sciences          2    0.000003
