##############
# CLUSTER 41 #
##############

attribute prevalence  =   1004 / 110100 = 0.009119
occurrence prevalence =  39584 / 626862 = 0.063146

                                 attribute  frequency  prevalence
                                   science       3767    0.006009
                               engineering       2598    0.004144
                         civil engineering       2588    0.004129
                                    b.tech       1915    0.003055
          computer science and engineering       1442    0.002300
                                  commerce       1386    0.002211
                                       mca       1372    0.002189
                                       ece       1224    0.001953
                                       cse       1145    0.001827
                                       ssc        956    0.001525
                               electronics        891    0.001421
                                    school        805    0.001284
                                        be        718    0.001145
             electronics and communication        717    0.001144
                                mechanical        709    0.001131
                                      10th        676    0.001078
                             biotechnology        669    0.001067
            computer science & engineering        668    0.001066
                              intermediate        658    0.001050
                                 schooling        654    0.001043
                                       hsc        617    0.000984
                                     btech        599    0.000956
                                 computers        540    0.000861
                                      12th        536    0.000855
              computer science engineering        495    0.000790
                          higher secondary        492    0.000785
                                       eee        470    0.000750
                                       mpc        469    0.000748
                                       b.e        463    0.000739
                       information science        451    0.000719
                          secondary school        425    0.000678
 electronics and communication engineering        414    0.000660
                            primary school        412    0.000657
                                        +2        394    0.000629
                   electronics engineering        352    0.000562
               electronics & communication        323    0.000515
                                       pcm        321    0.000512
    electrical and electronics engineering        313    0.000499
                                 secondary        313    0.000499
                       engineering physics        266    0.000424
                                      b.e.        252    0.000402
                                electrical        251    0.000400
                                    b tech        238    0.000380
                                    b-tech        234    0.000373
                   bachelor of engineering        214    0.000341
                                      pgdm        206    0.000329
                                      pcmb        205    0.000327
                                      icse        199    0.000317
                                   masters        188    0.000300
                           mechanical engg        181    0.000289


##############
# CLUSTER 81 #
##############

attribute prevalence  =   1331 / 110100 = 0.012089
occurrence prevalence =  34017 / 626862 = 0.054266

                       attribute  frequency  prevalence
                   culinary arts        323    0.000515
                     kinesiology        290    0.000463
           international affairs        281    0.000448
           public administration        281    0.000448
                entrepreneurship        272    0.000434
                              md        267    0.000426
                             n/a        252    0.000402
                        a levels        242    0.000386
                    film studies        240    0.000383
                     game design        226    0.000361
                            arts        220    0.000351
    business information systems        215    0.000343
             computer technology        215    0.000343
               music performance        207    0.000330
                 liberal studies        204    0.000325
                           drama        202    0.000322
