##############
# CLUSTER 51 #
##############

attribute prevalence  =    736 / 110100 = 0.006685
occurrence prevalence =  33383 / 626862 = 0.053254

                                         attribute  frequency  prevalence
                                  computer science      32615    0.052029
                                       mat-inf-fiz          4    0.000006
                               računalniški tehnik          4    0.000006
                                      stadtplanung          4    0.000006
                                   graficki dizajn          3    0.000005
                            animação sociocultural          2    0.000003
                                   bac s spé maths          2    0.000003
                            business it management          2    0.000003
                                                cj          2    0.000003
                                   clinic medicine          2    0.000003
                                    electromecanic          2    0.000003
                                    elinstallation          2    0.000003
                              englisch, informatik          2    0.000003
            fachinformatiker/anwendungsentwicklung          2    0.000003
                   finance, banking and investment          2    0.000003
                                  hts-autotechniek          2    0.000003
                            højere teknisk eksamen          2    0.000003
   laurea triennale in scienze della comunicazione          2    0.000003
 licenciada en administración y dirección de em...          2    0.000003
                            matematika-informatika          2    0.000003
                                   mathe/physik lk          2    0.000003
                                    pdpp education          2    0.000003
                              pharmacoepidemiology          2    0.000003
            tecnologias da informação e multimédia          2    0.000003
                                     visualisation          2    0.000003
                                ylioppilastutkinto          2    0.000003
                                              משחק          2    0.000003
                         (connaissance et decision          1    0.000002
                                ...asked to leave!          1    0.000002
                            10+2 science with math          1    0.000002
                                       10, science          1    0.000002
                                             10,11          1    0.000002
                                         11 gcse's          1    0.000002
                      1º grau - ensino fundamental          1    0.000002
                                     6th form cert          1    0.000002
                                       8 általános          1    0.000002
        a.b., physics, astronomy, and astrophysics          1    0.000002
                                  academic sutdies          1    0.000002
                       accounting/industrial mngmt          1    0.000002
                              acting & performance          1    0.000002
                   acupuncture & oriental medicine          1    0.000002
           acupuncture and chinese herbal medicine          1    0.000002
               administrador sistemas informaticos          1    0.000002
   administração (ênfase em sistema de informação)          1    0.000002
                              adv gnvq engineering          1    0.000002
                          advertising art & design          1    0.000002
                          agronomist, food science          1    0.000002
                                      aliran agama          1    0.000002
                                      aliran sains          1    0.000002
                                        all fields          1    0.000002


###############
# CLUSTER 198 #
###############

attribute prevalence  =    351 / 110100 = 0.003188
