#############
# CLUSTER 0 #
#############

attribute prevalence  = 106884 / 555819 = 0.192300
occurrence prevalence = 558503 / 626862 = 0.890950

                        attribute  frequency  prevalence
                 computer science      32615    0.052029
                              mba       7628    0.012169
             computer engineering       6995    0.011159
           mechanical engineering       6931    0.011057
                       psychology       6559    0.010463
           electrical engineering       6221    0.009924
                        economics       5685    0.009069
                      high school       5547    0.008849
                          english       5334    0.008509
                political science       4988    0.007957
                        marketing       4950    0.007896
           information technology       4275    0.006820
                              law       4170    0.006652
                          biology       4111    0.006558
                   graphic design       3861    0.006159
                          history       3663    0.005843
                          finance       3614    0.005765
                         business       3419    0.005454
                          physics       3348    0.005341
                      mathematics       3341    0.005330
                       journalism       3212    0.005124
                       accounting       2701    0.004309
             software engineering       2654    0.004234
                      engineering       2598    0.004144
                civil engineering       2588    0.004129
                   communications       2489    0.003971
                               it       2357    0.003760
                     architecture       2287    0.003648
                        chemistry       2174    0.003468
                         medicine       2031    0.003240
                       philosophy       1916    0.003056
                        sociology       1876    0.002993
                    communication       1660    0.002648
                      informatica       1505    0.002401
              information systems       1471    0.002347
     computer information systems       1444    0.002304
 computer science and engineering       1442    0.002300
                          nursing       1395    0.002225
                         commerce       1386    0.002211
                              mca       1372    0.002189
           biomedical engineering       1368    0.002182
                      advertising       1340    0.002138
                        education       1307    0.002085
                            music       1305    0.002082
                       management       1248    0.001991
                              ece       1224    0.001953
                     informatique       1198    0.001911
                              cse       1145    0.001827
                     biochemistry       1136    0.001812
   management information systems       1092    0.001742


##############
# CLUSTER 46 #
##############

attribute prevalence  =   1518 / 555819 = 0.002731
occurrence prevalence =  45915 / 626862 = 0.073246

                             attribute  frequency  prevalence
                               science       3767    0.006009
               business administration       3472    0.005539
                  chemical engineering       2482    0.003959
                                b.tech       1915    0.003055
                   business management       1572    0.002508
                               general       1467    0.002340
                       general studies       1089    0.001737
                industrial engineering       1084    0.001729
                          anthropology       1078    0.001720
                                   ssc        956    0.001525
                      criminal justice        953    0.001520
                                school        805    0.001284
                                    be        718    0.001145
                   high school diploma        694    0.001107
                          intermediate        658    0.001050
                                   bca        628    0.001002
                                   hsc        617    0.000984
                               theatre        617    0.000984
                           informatics        586    0.000935
                                   bba        581    0.000927
                             fine arts        448    0.000715
                     computer sciences        439    0.000700
                   applied mathematics        433    0.000691
                                   cis        413    0.000659
                             computing        386    0.000616
                   computer networking        351    0.000560
                       interior design        351    0.000560
                              theology        320    0.000510
                         media studies        310    0.000495
                              computer        308    0.000491
                  computer programming        299    0.000477
                                   ict        299    0.000477
                             undecided        298    0.000475
                               primary        280    0.000447
                                french        278    0.000443
     master of business administration        266    0.000424
                   systems engineering        243    0.000388
                                b tech        238    0.000380
                        business admin        235    0.000375
                       web development        228    0.000364
                           game design        226    0.000361
                     software engineer        224    0.000357
                                  gcse        216    0.000345
                     elementary school        212    0.000338
                  software development        205    0.000327
 análise e desenvolvimento de sistemas        202    0.000322
                                german        198    0.000316
                          broadcasting        194    0.000309
