################
# CLUSTER 12.0 #
################

attribute prevalence  =   5191 / 555819 = 0.009339
occurrence prevalence =  61815 / 626862 = 0.098610

                                     attribute  frequency  prevalence
                              computer science      32615    0.052029
                                       english       5334    0.008509
                                       biology       4111    0.006558
                                      business       3419    0.005454
                                    journalism       3212    0.005124
                                    philosophy       1916    0.003056
                                 communication       1660    0.002648
                          broadcast journalism        333    0.000531
                                     astronomy        136    0.000217
                                  neurobiology        115    0.000183
                                animal science        112    0.000179
                              print journalism         93    0.000148
                          occupational therapy         85    0.000136
                            advertising design         72    0.000115
                                    film/video         65    0.000104
                     wirtschaftswissenschaften         60    0.000096
                                      histoire         50    0.000080
                            physical chemistry         41    0.000065
                              chemical biology         38    0.000061
                         computer info systems         35    0.000056
          marketing and international business         30    0.000048
                              advanced diploma         23    0.000037
                         intercultural studies         23    0.000037
                              lettres modernes         23    0.000037
                         office administration         23    0.000037
                    développement informatique         20    0.000032
                                health studies         19    0.000030
                        baking and pastry arts         18    0.000029
                         economics and history         18    0.000029
                   elektrotehnik računalništva         18    0.000029
                          environmental health         18    0.000029
                        physiological sciences         18    0.000029
          explotación de sistemas informáticos         17    0.000027
                               global business         17    0.000027
                  new media design and imaging         17    0.000027
 operations research and financial engineering         17    0.000027
                                       b. arch         16    0.000026
                           classical animation         16    0.000026
                       computer science / math         16    0.000026
                          hospitality business         16    0.000026
                     intellectual property law         16    0.000026
             masters in mechanical engineering         16    0.000026
                                 mba candidate         16    0.000026
                                           mct         16    0.000026
                                          mism         16    0.000026
      advertising and marketing communications         15    0.000024
                   brain and cognitive science         15    0.000024
                          computer information         15    0.000024
                                           fau         15    0.000024
                                    phlebotomy         15    0.000024


################
# CLUSTER 48.0 #
################

attribute prevalence  =   4616 / 555819 = 0.008305
occurrence prevalence =  56445 / 626862 = 0.090044

                                 attribute  frequency  prevalence
                               high school       5547    0.008849
                    information technology       4275    0.006820
                                   science       3767    0.006009
                   business administration       3472    0.005539
                                    b.tech       1915    0.003055
                       business management       1572    0.002508
                                   general       1467    0.002340
                              informatique       1198    0.001911
                           general studies       1089    0.001737
                    industrial engineering       1084    0.001729
                              anthropology       1078    0.001720
                               photography        976    0.001557
                                       ssc        956    0.001525
                          criminal justice        953    0.001520
                                    school        805    0.001284
       electrical and computer engineering        762    0.001216
                                        be        718    0.001145
             electronics and communication        717    0.001144
                         industrial design        702    0.001120
                                      10th        676    0.001078
                              intermediate        658    0.001050
                                informatik        651    0.001039
                                       bca        628    0.001002
                                   theatre        617    0.000984
                                     btech        599    0.000956
                                      12th        536    0.000855
                     communication studies        516    0.000823
                                       eee        470    0.000750
                                       mpc        469    0.000748
                                 fine arts        448    0.000715
                         computer sciences        439    0.000700
                              arquitectura        436    0.000696
 electronics and communication engineering        414    0.000660
                                 computing        386    0.000616
                           interior design        351    0.000560
                                publicidad        348    0.000555
                                      sslc        343    0.000547
                                  computer        308    0.000491
                                    abitur        307    0.000490
                                       ict        299    0.000477
                                   primary        280    0.000447
                                      b.e.        252    0.000402
                                    b tech        238    0.000380
                                      pgdm        206    0.000329
     análise e desenvolvimento de sistemas        202    0.000322
                                     drama        202    0.000322
                              broadcasting        194    0.000309
                                     inter        180    0.000287
                                    m.tech        174    0.000278
                                        aa        163    0.000260


################
# CLUSTER 43.0 #
################

attribute prevalence  =   1962 / 555819 = 0.003530
occurrence prevalence =  42800 / 626862 = 0.068277

                                   attribute  frequency  prevalence
                                  psychology       6559    0.010463
                           political science       4988    0.007957
                              graphic design       3861    0.006159
                                     physics       3348    0.005341
                        software engineering       2654    0.004234
                                 engineering       2598    0.004144
                                architecture       2287    0.003648
                computer information systems       1444    0.002304
                                    commerce       1386    0.002211
                                       music       1305    0.002082
                                  management       1248    0.001991
                       aerospace engineering       1189    0.001897
                                biochemistry       1136    0.001812
                                 electronics        891    0.001421
                               digital media        542    0.000865
                                illustration        489    0.000780
                                        life        437    0.000697
                                  web design        291    0.000464
                                       maths        251    0.000400
                           molecular biology        209    0.000333
                           music composition        160    0.000255
                      network administration        153    0.000244
                             pre-engineering        135    0.000215
                              health science        119    0.000190
                          doctor of pharmacy        102    0.000163
                                    comp sci         94    0.000150
                             health sciences         79    0.000126
                         magazine journalism         67    0.000107
                                 informatikk         63    0.000101
                           school psychology         58    0.000093
                                      pharmd         57    0.000091
                                      bs(cs)         55    0.000088
                             pre engineering         52    0.000083
                       master of social work         50    0.000080
                       marketing and finance         48    0.000077
                                      basics         46    0.000073
                                  production         43    0.000069
                                h.s. diploma         42    0.000067
                   economics and mathematics         40    0.000064
        mechanical and aerospace engineering         40    0.000064
                                      md/phd         38    0.000061
                  ciencias de la computación         37    0.000059
                             medical physics         35    0.000056
                        engineering sciences         32    0.000051
                                        mech         32    0.000051
                          ciencias políticas         29    0.000046
                         economics & finance         29    0.000046
                                       m.com         29    0.000046
 bachelor of science in computer engineering         28    0.000045
                                 elektronika         26    0.000041


###############
# CLUSTER 3.0 #
###############

attribute prevalence  =   7339 / 555819 = 0.013204
