##############
# CLUSTER 39 #
##############

attribute prevalence  =   1062 / 246973 = 0.004300
occurrence prevalence =  52771 / 928097 = 0.056859

                                         attribute  frequency  prevalence
                       western michigan university        534    0.000575
                   stevens institute of technology        460    0.000496
                       florida atlantic university        416    0.000448
                                chapman university        414    0.000446
                     de la salle university-manila        399    0.000430
                                fordham university        388    0.000418
                new jersey institute of technology        342    0.000368
                          university of queensland        329    0.000354
                            wake forest university        325    0.000350
                             st. john's university        314    0.000338
                              dalhousie university        305    0.000329
                                seattle university        291    0.000314
                                oakland university        284    0.000306
               university of alabama at birmingham        284    0.000306
                                    marist college        268    0.000289
                            boise state university        267    0.000288
                                  carleton college        263    0.000283
               rose-hulman institute of technology        262    0.000282
                           university of cape town        262    0.000282
                        universiteit van amsterdam        261    0.000281
                          university of birmingham        261    0.000281
                                swarthmore college        256    0.000276
                       university of north florida        255    0.000275
                           university of sheffield        245    0.000264
                                   pace university        240    0.000259
                                middlebury college        239    0.000258
                  university of colorado at denver        237    0.000255
                                   wheaton college        229    0.000247
                                  drake university        221    0.000238
 indiana university-purdue university indianapolis        214    0.000231
                                   bentley college        209    0.000225
                     central washington university        207    0.000223
                               clarkson university        202    0.000218
                                   elon university        202    0.000218
   california state polytechnic university, pomona        196    0.000211
                                radford university        195    0.000210
 university college dublin - national universit...        195    0.000210
                                university of york        194    0.000209
                                    calvin college        191    0.000206
                                suffolk university        191    0.000206
                     rhode island school of design        186    0.000200
                          azusa pacific university        183    0.000197
          california state university, los angeles        182    0.000196
                              university of sussex        181    0.000195
             southern polytechnic state university        180    0.000194
             university of massachusetts dartmouth        179    0.000193
                                 taylor university        176    0.000190
               university of alabama in huntsville        171    0.000184
                        copenhagen business school        169    0.000182
                  georgetown university law center        169    0.000182


##############
# CLUSTER 84 #
##############

attribute prevalence  =    880 / 246973 = 0.003563
occurrence prevalence =  27236 / 928097 = 0.029346

                             attribute  frequency  prevalence
            carnegie mellon university       2583    0.002783
                   new york university       2371    0.002555
 massachusetts institute of technology       2252    0.002426
                   columbia university       1982    0.002136
                    cornell university       1954    0.002105
            university of pennsylvania       1912    0.002060
               northwestern university       1742    0.001877
                       duke university       1415    0.001525
                university of virginia       1392    0.001500
                 university of chicago       1246    0.001343
                       yale university       1117    0.001204
    washington university in st. louis       1059    0.001141
                  princeton university        960    0.001034
                 georgetown university        894    0.000963
                      tufts university        741    0.000798
                       rice university        733    0.000790
                     dartmouth college        669    0.000721
               university of cambridge        599    0.000645
    california institute of technology        495    0.000533
                       harvard college        234    0.000252
        telkom institute of management          3    0.000003
          american school for the deaf          2    0.000002
            berze nagy jános gimnázium          2    0.000002
           center for creative studies          2    0.000002
     colegiul national carol i craiova          2    0.000002
            deira international school          2    0.000002
                 east 15 acting school          2    0.000002
       ecole mohammadia des ingénieurs          2    0.000002
                  garhbeta high school          2    0.000002
                    gimnazija črnomelj          2    0.000002
                      glebe collegiate          2    0.000002
                        hakfar hayarok          2    0.000002
                   hasting high school          2    0.000002
                                  klte          2    0.000002
                         lenana school          2    0.000002
       mendocino community high school          2    0.000002
      michael's college of hair design          2    0.000002
                   rajshahi university          2    0.000002
                      ramiro de maeztu          2    0.000002
                   stromlo high school          2    0.000002
                    townsend harris hs          2    0.000002
                univeristy of colorado          2    0.000002
                              utn frsf          2    0.000002
           valley regional high school          2    0.000002
                               אוהל שם          2    0.000002
      'iolani school, williams college          1    0.000001
                         13. gimnazija          1    0.000001
                                   183          1    0.000001
                    28-р дунд сургууль          1    0.000001
                  3 jaar lagere school          1    0.000001


###############
# CLUSTER 138 #
###############

attribute prevalence  =   5369 / 246973 = 0.021739
occurrence prevalence =  19043 / 928097 = 0.020518

                                         attribute  frequency  prevalence
                   vellore institute of technology        707    0.000762
              indian institute of technology delhi        560    0.000603
           indian institute of technology guwahati        379    0.000408
                                     iit kharagpur        328    0.000353
        national institute of technology karnataka        320    0.000345
                               delhi public school        303    0.000326
                                osmania university        302    0.000325
                      delhi college of engineering        269    0.000290
                                  gitam university        265    0.000286
         jawaharlal nehru technological university        265    0.000286
                                        nit trichy        246    0.000265
                                 dav public school        227    0.000245
                               jadavpur university        199    0.000214
        jaypee institute of information technology        196    0.000211
             netaji subhas institute of technology        182    0.000196
 dhirubhai ambani institute of information and ...        153    0.000165
 international institute of information technol...        150    0.000162
          indian institute of management ahmedabad        147    0.000158
           indian institute of management calcutta        147    0.000158
                     panjab university, chandigarh        127    0.000137
   birla institute of technology & science, pilani        120    0.000129
            indian institute of management lucknow        111    0.000120
               maharashtra institute of technology        110    0.000119
                                      nit rourkela        102    0.000110
     maulana azad national institute of technology         96    0.000103
             indian institute of management indore         95    0.000102
        national institute of technology, rourkela         94    0.000101
                      sri chaitanya junior college         94    0.000101
                                      nit durgapur         92    0.000099
