#############
# CLUSTER 3 #
#############

attribute prevalence  =   6437 / 246973 = 0.026064
occurrence prevalence =  73603 / 928097 = 0.079305

                                         attribute  frequency  prevalence
                     university of texas at austin       3657    0.003940
        university of illinois at urbana-champaign       2841    0.003061
                          university of washington       2773    0.002988
                   georgia institute of technology       2691    0.002899
                               new york university       2371    0.002555
                     pennsylvania state university       2317    0.002497
                                 boston university       1929    0.002078
                             ohio state university       1841    0.001984
                         michigan state university       1823    0.001964
                           northwestern university       1742    0.001877
                                rutgers university       1590    0.001713
 virginia polytechnic institute and state unive...       1530    0.001649
       university of north carolina at chapel hill       1469    0.001583
                   university of wisconsin-madison       1456    0.001569
                             university of georgia       1437    0.001548
                           northeastern university       1422    0.001532
                   north carolina state university       1418    0.001528
                                   duke university       1415    0.001525
                            university of virginia       1392    0.001500
                           university of minnesota       1363    0.001469
                               syracuse university       1253    0.001350
                             university of chicago       1246    0.001343
                          university of pittsburgh       1174    0.001265
                                 drexel university       1139    0.001227
                 university of colorado at boulder       1130    0.001218
                          johns hopkins university       1107    0.001193
                              university of kansas       1092    0.001177
                              university of oregon       1076    0.001159
                washington university in st. louis       1059    0.001141
                              full sail university       1055    0.001137
                           george mason university       1048    0.001129
                             university of houston       1046    0.001127
                   university of missouri–columbia       1015    0.001094
                                university of utah        981    0.001057
                                indiana university        979    0.001055
                    san francisco state university        978    0.001054
                             georgetown university        894    0.000963
                                 depaul university        855    0.000921
                               american university        803    0.000865
                          georgia state university        778    0.000838
                                  emory university        760    0.000819
                                  tufts university        741    0.000798
                      university of south carolina        729    0.000785
                             texas tech university        709    0.000764
                savannah college of art and design        679    0.000732
                          university of notre dame        676    0.000728
                 university of illinois at chicago        641    0.000691
                       college of william and mary        554    0.000597
                   case western reserve university        533    0.000574
                          university of new mexico        412    0.000444


##############
# CLUSTER 16 #
##############

attribute prevalence  =   7508 / 246973 = 0.030400
occurrence prevalence =  53705 / 928097 = 0.057866

                                  attribute  frequency  prevalence
                   florida state university       1461    0.001574
                 louisiana state university        830    0.000894
