##############
# CLUSTER 43 #
##############

attribute prevalence  =   1146 / 110100 = 0.010409
occurrence prevalence =  44240 / 626862 = 0.070574

                        attribute  frequency  prevalence
                          science       3767    0.006009
                      engineering       2598    0.004144
                civil engineering       2588    0.004129
                           b.tech       1915    0.003055
 computer science and engineering       1442    0.002300
                         commerce       1386    0.002211
                              mca       1372    0.002189
                              ece       1224    0.001953
                              cse       1145    0.001827
                              ssc        956    0.001525
                      electronics        891    0.001421
                           school        805    0.001284
                               be        718    0.001145
    electronics and communication        717    0.001144
                       mechanical        709    0.001131
                             10th        676    0.001078
                    biotechnology        669    0.001067
   computer science & engineering        668    0.001066
                     intermediate        658    0.001050
                        schooling        654    0.001043
                              bca        628    0.001002
                              hsc        617    0.000984
                            btech        599    0.000956
                              bba        581    0.000927
                        computers        540    0.000861
                             12th        536    0.000855
     computer science engineering        495    0.000790
                 higher secondary        492    0.000785
                              eee        470    0.000750
                              mpc        469    0.000748


##############
# CLUSTER 57 #
##############

attribute prevalence  =   1152 / 110100 = 0.010463
occurrence prevalence =  33817 / 626862 = 0.053946

                                       attribute  frequency  prevalence
                                computer science      32615    0.052029
                                     mat-inf-fiz          4    0.000006
                             računalniški tehnik          4    0.000006
                                    stadtplanung          4    0.000006
                        fakulteta za strojništvo          3    0.000005
                                 graficki dizajn          3    0.000005
                advanced informatics and control          2    0.000003
                          animação sociocultural          2    0.000003
                           automatics & robotics          2    0.000003
                                 bac s spé maths          2    0.000003
                                           bbais          2    0.000003
                          business it management          2    0.000003
                           ciências da linguagem          2    0.000003
                                              cj          2    0.000003
                                 clinic medicine          2    0.000003
                    economics and social studies          2    0.000003
                       economie en bedrijfskunde          2    0.000003
                                  electromecanic          2    0.000003
                                  elinstallation          2    0.000003
                            englisch, informatik          2    0.000003
                                enterpreneurship          2    0.000003
          fachinformatiker/anwendungsentwicklung          2    0.000003
                 finance, banking and investment          2    0.000003
                                hts-autotechniek          2    0.000003
                          højere teknisk eksamen          2    0.000003
                industrial design and technology          2    0.000003
  ingenieurswetenschappen: computerwetenschappen          2    0.000003
            instructional design and development          2    0.000003
                                    konstrukcije          2    0.000003
 laurea triennale in scienze della comunicazione          2    0.000003


#############
# CLUSTER 5 #
#############

attribute prevalence  =   6866 / 110100 = 0.062361
occurrence prevalence =  29798 / 626862 = 0.047535

                              attribute  frequency  prevalence
                                derecho        588    0.000938
                               medicina        526    0.000839
                         diseño gráfico        511    0.000815
                            informática        508    0.000810
                             periodismo        497    0.000793
                 ingeniería informática        468    0.000747
                           arquitectura        436    0.000696
                             publicidad        348    0.000555
                           bachillerato        307    0.000490
                             secundaria        306    0.000488
                               primaria        267    0.000426
                             psicología        262    0.000418
              ingeniería en informática        251    0.000400
                 ingeniería de sistemas        238    0.000380
                              bachiller        233    0.000372
                 ingenieria de sistemas        215    0.000343
                           preparatoria        209    0.000333
                 ingenieria en sistemas        206    0.000329
                         diseño grafico        187    0.000298
                    comunicación social        186    0.000297
                  ingeniería industrial        184    0.000294
            ciencias de la comunicación        178    0.000284
              ingeniería en computación        161    0.000257
                   ingeniería comercial        156    0.000249
 ingeniería en sistemas computacionales        149    0.000238
                           comunicación        144    0.000230
               comunicación audiovisual        138    0.000220
 ingenieria en sistemas computacionales        128    0.000204
                   analista de sistemas        127    0.000203
                 ingeniería en sistemas        127    0.000203


##############
# CLUSTER 99 #
##############

attribute prevalence  =   1359 / 110100 = 0.012343
occurrence prevalence =  28635 / 626862 = 0.045680

                          attribute  frequency  prevalence
                      culinary arts        323    0.000515
                        kinesiology        290    0.000463
              international affairs        281    0.000448
                                 md        267    0.000426
          early childhood education        232    0.000370
                  music performance        207    0.000330
                  audio engineering        201    0.000321
              environmental studies        196    0.000313
                            zoology        188    0.000300
                clinical psychology        183    0.000292
             hospitality management        180    0.000287
                  english education        167    0.000266
                   sport management        167    0.000266
                   biblical studies        165    0.000263
                   physical therapy        165    0.000263
                   exercise science        162    0.000258
                  special education        159    0.000254
                nuclear engineering        155    0.000247
                    massage therapy        147    0.000235
                         media arts        145    0.000231
                           genetics        144    0.000230
                biomedical sciences        140    0.000223
                       study abroad        136    0.000217
            construction management        134    0.000214
                         everything        132    0.000211
                   music technology        132    0.000211
 industrial and systems engineering        131    0.000209
 masters in business administration        129    0.000206
                    human resources        128    0.000204
                     music industry        125    0.000199


##############
# CLUSTER 79 #
##############

attribute prevalence  =    868 / 110100 = 0.007884
occurrence prevalence =  23964 / 626862 = 0.038229

                       attribute  frequency  prevalence
                  graphic design       3861    0.006159
         business administration       3472    0.005539
                        business       3419    0.005454
                      journalism       3212    0.005124
                  communications       2489    0.003971
                   communication       1660    0.002648
                     advertising       1340    0.002138
                           music       1305    0.002082
                public relations        902    0.001439
                    liberal arts        855    0.001364
                      multimedia        460    0.000734
                  statsvetenskap          8    0.000013
                   ikt-driftsfag          7    0.000011
                    arts visuels          6    0.000010
                  webbutveckling          6    0.000010
                  dziennikarstwo          5    0.000008
   sound design for visual media          5    0.000008
       computers and electronics          4    0.000006
              english-journalism          4    0.000006
   management, economie en recht          4    0.000006
                       omvårdnad          4    0.000006
                   bio chemistry          3    0.000005
            business: management          3    0.000005
  career and technical education          3    0.000005
          digital bildbehandling          3    0.000005
                 film studies ma          3    0.000005
          humanistisk informatik          3    0.000005
 interactive multimedia creation          3    0.000005
                        kunstfag          3    0.000005
      licensed practical nursing          3    0.000005


##############
# CLUSTER 21 #
##############

attribute prevalence  =    872 / 110100 = 0.007920
occurrence prevalence =  21946 / 626862 = 0.035009

                                  attribute  frequency  prevalence
                                    english       5334    0.008509
                          political science       4988    0.007957
                                        law       4170    0.006652
                                    history       3663    0.005843
                                 philosophy       1916    0.003056
                           creative writing        532    0.000849
                                         jd        413    0.000659
                         gcses and a levels          5    0.000008
                                droit privé          4    0.000006
                                 idrettsfag          4    0.000006
                                    alcohol          3    0.000005
                      commerce - accounting          3    0.000005
                                 dramaturgy          3    0.000005
                                     m arch          3    0.000005
                                        sjd          3    0.000005
                  adminstración de empresas          2    0.000003
            b.a. in business administration          2    0.000003
                                ba: theatre          2    0.000003
                    betriebwirtschaftslehre          2    0.000003
       biblioteks- og informationsvidenskab          2    0.000003
                 bsc information management          2    0.000003
                                        chi          2    0.000003
                                 cisco ccnp          2    0.000003
                           classic culinary          2    0.000003
                      clinical lab sciences          2    0.000003
                                    dancing          2    0.000003
                               dessin animé          2    0.000003
                              edb assistent          2    0.000003
                                    el-tele          2    0.000003
 electronics & telcommunication engineering          2    0.000003


##############
# CLUSTER 63 #
##############

attribute prevalence  =    953 / 110100 = 0.008656
occurrence prevalence =  19744 / 626862 = 0.031497

                             attribute  frequency  prevalence
                               biology       4111    0.006558
                          architecture       2287    0.003648
                             chemistry       2174    0.003468
                              medicine       2031    0.003240
                             sociology       1876    0.002993
                   information systems       1471    0.002347
                             education       1307    0.002085
               international relations        970    0.001547
                   biological sciences        585    0.000933
                 international studies        529    0.000844
                 communication studies        516    0.000823
                        bioengineering        486    0.000775
                         public policy        299    0.000477
                                   tip         10    0.000016
                            automasjon          7    0.000011
        mechanical systems engineering          5    0.000008
                          primary pgce          5    0.000008
                 teaching and learning          5    0.000008
                    3d animation & vfx          4    0.000006
  audio engineering & music production          4    0.000006
                                 mphys          4    0.000006
                                 日本語文系          4    0.000006
            animation and illustration          3    0.000005
                  art & graphic design          3    0.000005
 computer science: information systems          3    0.000005
                 diploma of accounting          3    0.000005
              elektrotehnik elektronik          3    0.000005
                            evangelism          3    0.000005
                     french, education          3    0.000005
                                genral          3    0.000005


#############
# CLUSTER 3 #
#############

attribute prevalence  =   1165 / 110100 = 0.010581
occurrence prevalence =  18194 / 626862 = 0.029024

                           attribute  frequency  prevalence
                    entrepreneurship        272    0.000434
                            a levels        242    0.000386
                                arts        220    0.000351
                                gcse        216    0.000345
        business information systems        215    0.000343
                 computer technology        215    0.000343
                     liberal studies        204    0.000325
                               drama        202    0.000322
                                 vwo        200    0.000319
                               media        185    0.000295
                         visual arts        183    0.000292
                           new media        182    0.000290
                                 bfa        174    0.000278
                    game development        172    0.000274
                         meteorology        170    0.000271
                            a-levels        163    0.000260
     computer information technology        147    0.000235
                                bsee        144    0.000230
                              acting        139    0.000222
                               gcses        139    0.000222
                           astronomy        136    0.000217
                             writing        127    0.000203
                         archaeology        121    0.000193
              toegepaste informatica        113    0.000180
                    business studies        112    0.000179
                      digital design        108    0.000172
 bachelor of business administration        106    0.000169
 information sciences and technology        105    0.000168
           architectural engineering        104    0.000166
              graphic communications        102    0.000163


##############
# CLUSTER 29 #
##############

attribute prevalence  =    614 / 110100 = 0.005577
occurrence prevalence =  15560 / 626862 = 0.024822

                             attribute  frequency  prevalence
                   business management       1572    0.002508
                               general       1467    0.002340
                       general studies       1089    0.001737
                industrial engineering       1084    0.001729
                          anthropology       1078    0.001720
                      criminal justice        953    0.001520
   electrical and computer engineering        762    0.001216
